id_event,Games,Sport,Event,id_games
0,1896 Summer,Athletics,Athletics Men's High Jump,0
1,1896 Summer,Athletics,Athletics Men's 100 metres,0
2,1896 Summer,Tennis,Tennis Men's Singles,0
3,1896 Summer,Cycling,Cycling Men's 333 metres Time Trial,0
4,1896 Summer,Tennis,Tennis Men's Doubles,0
5,1896 Summer,Cycling,Cycling Men's 100 kilometres,0
6,1896 Summer,Fencing,"Fencing Men's Sabre, Individual",0
7,1896 Summer,Athletics,Athletics Men's Discus Throw,0
8,1896 Summer,Shooting,"Shooting Men's Military Rifle, 200 metres",0
9,1896 Summer,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",0
10,1896 Summer,Athletics,Athletics Men's Marathon,0
11,1896 Summer,Shooting,"Shooting Men's Free Pistol, 30 metres",0
12,1896 Summer,Cycling,"Cycling Men's 10,000 metres",0
13,1896 Summer,Cycling,Cycling Men's Sprint,0
14,1896 Summer,Shooting,"Shooting Men's Military Pistol, 25 metres",0
15,1896 Summer,Swimming,Swimming Men's 100 metres Freestyle For Sailors,0
16,1896 Summer,Fencing,"Fencing Men's Foil, Individual",0
17,1896 Summer,Athletics,Athletics Men's 110 metres Hurdles,0
18,1896 Summer,Swimming,"Swimming Men's 1,200 metres Freestyle",0
19,1896 Summer,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",0
20,1896 Summer,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",0
21,1896 Summer,Weightlifting,"Weightlifting Men's Unlimited, One Hand",0
22,1896 Summer,Cycling,"Cycling Men's Road Race, Individual",0
23,1896 Summer,Gymnastics,Gymnastics Men's Pommelled Horse,0
24,1896 Summer,Athletics,Athletics Men's 400 metres,0
25,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",0
26,1896 Summer,Swimming,Swimming Men's 100 metres Freestyle,0
27,1896 Summer,Fencing,"Fencing Men's Foil, Masters, Individual",0
28,1896 Summer,Athletics,"Athletics Men's 1,500 metres",0
29,1896 Summer,Gymnastics,Gymnastics Men's Rings,0
30,1896 Summer,Gymnastics,Gymnastics Men's Rope Climbing,0
31,1896 Summer,Swimming,Swimming Men's 500 metres Freestyle,0
32,1896 Summer,Cycling,Cycling Men's 12-Hours Race,0
33,1896 Summer,Athletics,Athletics Men's Pole Vault,0
34,1896 Summer,Athletics,Athletics Men's Shot Put,0
35,1896 Summer,Athletics,Athletics Men's 800 metres,0
36,1896 Summer,Athletics,Athletics Men's Long Jump,0
37,1896 Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",0
38,1896 Summer,Gymnastics,Gymnastics Men's Horse Vault,0
39,1896 Summer,Gymnastics,Gymnastics Men's Parallel Bars,0
40,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",0
41,1896 Summer,Athletics,Athletics Men's Triple Jump,0
42,1896 Summer,Gymnastics,Gymnastics Men's Horizontal Bar,0
43,1900 Summer,Sailing,Sailing Mixed Open,1
44,1900 Summer,Sailing,Sailing Mixed 0-0.5 Ton,1
45,1900 Summer,Athletics,Athletics Men's Triple Jump,1
46,1900 Summer,Tennis,Tennis Women's Singles,1
47,1900 Summer,Athletics,Athletics Men's Standing Triple Jump,1
48,1900 Summer,Sailing,Sailing Mixed 20+ Ton,1
49,1900 Summer,Athletics,Athletics Men's Standing High Jump,1
50,1900 Summer,Water Polo,Water Polo Men's Water Polo,1
51,1900 Summer,Rowing,Rowing Men's Coxed Eights,1
52,1900 Summer,Athletics,Athletics Men's Discus Throw,1
53,1900 Summer,Athletics,Athletics Men's Pole Vault,1
54,1900 Summer,Athletics,Athletics Men's 200 metres Hurdles,1
55,1900 Summer,Cycling,Cycling Men's 25 kilometres,1
56,1900 Summer,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,1
57,1900 Summer,Athletics,"Athletics Men's 2,500 metres Steeplechase",1
58,1900 Summer,Athletics,Athletics Men's 110 metres Hurdles,1
59,1900 Summer,Athletics,Athletics Men's Standing Long Jump,1
60,1900 Summer,Rugby,Rugby Men's Rugby,1
61,1900 Summer,Croquet,Croquet Mixed Doubles,1
62,1900 Summer,Swimming,"Swimming Men's 1,000 metres Freestyle",1
63,1900 Summer,Fencing,"Fencing Men's Foil, Masters, Individual",1
64,1900 Summer,Fencing,"Fencing Men's epee, Masters, Individual",1
65,1900 Summer,Athletics,Athletics Men's 400 metres,1
66,1900 Summer,Athletics,Athletics Men's 100 metres,1
67,1900 Summer,Athletics,Athletics Men's Long Jump,1
68,1900 Summer,Swimming,Swimming Men's 200 metres Backstroke,1
69,1900 Summer,Sailing,Sailing Mixed 2-3 Ton,1
70,1900 Summer,Swimming,"Swimming Men's 4,000 metres Freestyle",1
71,1900 Summer,Swimming,Swimming Men's Underwater Swimming,1
72,1900 Summer,Croquet,"Croquet Mixed Singles, Two Balls",1
73,1900 Summer,Swimming,Swimming Men's 200 metres Obstacle Course,1
74,1900 Summer,Athletics,Athletics Men's High Jump,1
75,1900 Summer,Gymnastics,Gymnastics Men's Individual All-Around,1
76,1900 Summer,Swimming,Swimming Men's 200 metres Team Swimming,1
77,1900 Summer,Sailing,Sailing Mixed 10-20 Ton,1
78,1900 Summer,Shooting,"Shooting Men's Free Pistol, 50 metres",1
79,1900 Summer,Sailing,Sailing Mixed 1-2 Ton,1
