athlete_id,id_event,Medal
35698,4,Bronze
12929,4,Gold
101352,4,Bronze
121713,4,Gold
18785,4,Silver
94075,4,Silver
35698,35,Gold
41160,35,Bronze
25184,35,Silver
35698,28,Gold
68911,28,Bronze
12068,28,Silver
48195,26,Silver
44875,26,Gold
85477,31,Gold
59374,31,Bronze
93091,31,Silver
107006,3,Bronze
76252,3,Gold
86280,3,Silver
107006,12,Bronze
35708,12,Silver
76252,12,Gold
107006,32,Gold
58394,32,Silver
54456,21,Silver
32330,21,Gold
86277,21,Bronze
54456,20,Gold
32330,20,Silver
126142,20,Bronze
54456,37,Bronze
36739,37,Silver
89416,37,Gold
85988,11,Silver
36739,11,Bronze
90607,11,Gold
85988,6,Bronze
39588,6,Gold
57436,6,Silver
85988,9,Bronze
36739,9,Gold
89416,9,Silver
17492,16,Silver
42499,16,Gold
94715,16,Bronze
127573,16,Bronze
35708,13,Bronze
76252,13,Gold
86280,13,Silver
35708,5,Gold
62185,5,Silver
93575,27,Silver
97712,27,Gold
122526,41,Silver
93606,41,Bronze
22700,41,Gold
8620,22,Bronze
40985,22,Silver
62552,22,Gold
12929,2,Gold
18785,2,Silver
91932,2,Bronze
118532,2,Bronze
40851,24,Bronze
16616,24,Gold
53542,24,Silver
42069,17,Silver
24423,17,Gold
12563,40,Gold
35740,40,Gold
35741,40,Gold
48633,40,Gold
74612,40,Gold
85456,40,Gold
102806,40,Gold
107607,40,Gold
107613,40,Gold
129377,40,Gold
57767,40,Bronze
71691,40,Bronze
12563,25,Gold
35740,25,Gold
35741,25,Gold
48633,25,Gold
74612,25,Gold
85456,25,Gold
102806,25,Gold
107607,25,Gold
107613,25,Gold
129377,25,Gold
35740,39,Gold
135481,39,Silver
35740,42,Silver
129377,42,Gold
49185,1,Silver
117571,1,Bronze
16616,1,Gold
66362,1,Bronze
49185,30,Bronze
4189,30,Gold
131985,30,Silver
107613,38,Gold
129377,38,Bronze
135481,38,Silver
107613,19,Gold
59429,19,Bronze
122329,19,Silver
129377,29,Silver
80474,29,Gold
93607,29,Bronze
129377,23,Silver
135481,23,Gold
4116,18,Silver
44875,18,Gold
25072,33,Bronze
119585,33,Bronze
50399,33,Gold
122937,33,Silver
29467,14,Bronze
90606,14,Gold
90607,14,Silver
30049,15,Bronze
59266,15,Silver
74168,15,Gold
42102,34,Silver
91250,34,Bronze
38860,34,Gold
57486,8,Gold
92301,8,Silver
121920,8,Bronze
71674,10,Gold
125390,10,Silver
58546,10,Bronze
91355,7,Silver
126142,7,Bronze
38860,7,Gold
21795,0,Gold
22700,0,Silver
38860,0,Silver
21795,36,Gold
22700,36,Bronze
38860,36,Silver
66363,112,Gold
103182,112,Bronze
127339,112,Silver
66363,73,Gold
127950,73,Silver
58638,73,Bronze
103047,100,Bronze
63659,100,Gold
119439,100,Silver
103047,66,Bronze
53970,66,Gold
119439,66,Silver
103047,82,Bronze
97066,82,Silver
119439,82,Gold
103047,94,Gold
18879,94,Silver
19661,94,Silver
19973,94,Silver
27384,94,Silver
98322,94,Silver
10161,94,Gold
100882,94,Gold
101468,94,Gold
122978,94,Gold
35801,97,Bronze
26259,97,Gold
119647,97,Silver
85325,83,Bronze
22764,83,Gold
105565,83,Silver
103182,68,Silver
49871,68,Gold
30090,68,Bronze
127950,62,Silver
53973,62,Gold
127339,62,Bronze
15689,51,Silver
25931,51,Silver
26051,51,Silver
26670,51,Silver
47514,51,Silver
87978,51,Silver
124231,51,Silver
124730,51,Silver
125969,51,Silver
14667,51,Bronze
15243,51,Bronze
61136,51,Bronze
68229,51,Bronze
78262,51,Bronze
79473,51,Bronze
88101,51,Bronze
122029,51,Bronze
124525,51,Bronze
404,51,Gold
18472,51,Gold
26863,51,Gold
33563,51,Gold
39362,51,Gold
47095,51,Gold
56463,51,Gold
70978,51,Gold
75384,51,Gold
22263,50,Silver
25899,50,Silver
25918,50,Silver
35117,50,Silver
42717,50,Silver
79376,50,Silver
102274,50,Silver
108850,50,Silver
113183,50,Silver
123394,50,Silver
17609,50,Bronze
22028,50,Bronze
23439,50,Bronze
26953,50,Bronze
34033,50,Bronze
35448,50,Bronze
39416,50,Bronze
67086,50,Bronze
74733,50,Bronze
75597,50,Bronze
78845,50,Bronze
93735,50,Bronze
93736,50,Bronze
125492,50,Bronze
16538,50,Bronze
22208,50,Gold
23728,50,Gold
47761,50,Gold
53973,50,Gold
58638,50,Gold
114396,50,Gold
70083,50,Gold
27218,86,Bronze
58471,86,Bronze
67659,86,Bronze
71187,86,Bronze
81896,86,Bronze
85040,86,Bronze
92824,86,Bronze
99984,86,Bronze
113669,86,Bronze
2829,86,Silver
6510,86,Silver
12293,86,Silver
17893,86,Silver
30724,86,Silver
36903,86,Silver
37926,86,Silver
38830,86,Silver
42370,86,Silver
51292,86,Silver
66151,86,Silver
72827,86,Silver
92908,86,Silver
16085,86,Gold
16727,86,Gold
19595,86,Gold
41949,86,Gold
46449,86,Gold
55677,86,Gold
85802,86,Gold
97829,86,Gold
113625,86,Gold
120077,86,Bronze
122797,86,Gold
134198,86,Gold
124664,86,Bronze
30112,113,Silver
36505,113,Gold
108898,113,Silver
40778,115,Bronze
43310,115,Gold
108898,115,Silver
44248,121,Silver
21899,121,Bronze
25904,121,Gold
44637,101,Gold
124435,101,Silver
26039,101,Bronze
84123,56,Gold
26490,56,Bronze
119866,56,Silver
92232,132,Bronze
73260,132,Gold
89913,132,Silver
124156,102,Bronze
85949,102,Silver
89913,102,Bronze
58499,102,Gold
124435,116,Bronze
38736,116,Gold
121960,116,Gold
124694,125,Gold
93957,125,Bronze
119640,125,Silver
124694,126,Gold
93957,126,Bronze
119640,126,Silver
124694,84,Silver
35601,84,Bronze
48121,84,Gold
124694,109,Silver
48121,109,Gold
124737,108,Gold
26569,108,Bronze
121960,108,Silver
53583,52,Silver
8716,52,Gold
109494,52,Bronze
102589,46,Bronze
96920,46,Silver
22925,46,Gold
55702,46,Bronze
102589,85,Bronze
96920,85,Silver
22925,85,Gold
29107,85,Bronze
29109,85,Gold
73603,85,Silver
128739,85,Bronze
55702,85,Bronze
89626,107,Bronze
118788,107,Silver
119439,107,Gold
89626,57,Gold
19973,57,Bronze
101468,57,Silver
47727,127,Silver
4,127,Gold
107090,127,Gold
130945,127,Gold
8484,127,Silver
22406,127,Silver
41407,127,Silver
101921,127,Silver
105848,127,Silver
86368,127,Gold
112720,127,Gold
114107,127,Gold
36144,106,Gold
93529,106,Silver
108188,106,Bronze
36144,129,Silver
6211,129,Gold
108188,129,Bronze
72609,71,Bronze
27933,71,Gold
111484,71,Silver
85949,130,Silver
58499,130,Silver
114177,130,Gold
85949,123,Silver
91740,123,Gold
89913,123,Bronze
107662,65,Bronze
49363,65,Silver
71204,65,Gold
25866,118,Gold
126675,118,Gold
1538,60,Gold
2316,60,Gold
11634,60,Gold
22406,60,Gold
39119,60,Gold
40576,60,Gold
41407,60,Gold
48220,60,Gold
66682,60,Gold
68265,60,Gold
88787,60,Gold
94393,60,Gold
99656,60,Gold
101000,60,Gold
105848,60,Gold
8913,60,Silver
11733,60,Silver
17975,60,Silver
25355,60,Silver
28003,60,Silver
49788,60,Silver
71038,60,Silver
71735,60,Silver
85862,60,Silver
112430,60,Silver
118101,60,Silver
128231,60,Silver
130097,60,Silver
130098,60,Silver
130824,60,Silver
3536,60,Silver
11068,60,Silver
47939,60,Silver
49206,60,Silver
64013,60,Silver
66354,60,Silver
67030,60,Silver
72100,60,Silver
72110,60,Silver
83064,60,Silver
96234,60,Silver
99862,60,Silver
107171,60,Silver
115309,60,Silver
129607,60,Silver
47724,60,Gold
102452,60,Gold
2317,79,Silver
2317,79,Bronze
8683,79,Bronze
8684,79,Bronze
30299,79,Bronze
30927,79,Silver
30927,79,Bronze
50894,79,Silver
50894,79,Bronze
74622,79,Bronze
126533,79,Silver
126533,79,Bronze
84716,79,Gold
93826,79,Gold
129432,79,Gold
130293,79,Gold
26557,79,Gold
26557,79,Silver
26559,79,Gold
26559,79,Silver
26560,79,Gold
26560,79,Silver
4914,124,Silver
26465,124,Bronze
83439,124,Gold
5871,91,Silver
102484,91,Silver
120863,91,Silver
3871,91,Silver
9009,91,Gold
11696,91,Gold
14259,91,Gold
14556,91,Silver
15626,91,Silver
16101,91,Gold
16474,91,Gold
21277,91,Gold
23107,91,Gold
24286,91,Gold
29397,91,Gold
49978,91,Silver
55887,91,Silver
72906,91,Silver
96654,91,Gold
101432,91,Silver
107247,91,Silver
117244,91,Gold
119315,91,Silver
120829,91,Gold
5959,122,Gold
8683,122,Silver
8683,122,Bronze
67492,122,Silver
67492,122,Bronze
74870,122,Silver
74870,122,Bronze
75648,122,Silver
75648,122,Bronze
78807,122,Bronze
78807,122,Silver
79412,122,Bronze
79412,122,Silver
124115,122,Silver
124115,122,Bronze
24399,122,Gold
42795,122,Gold
76805,122,Gold
5989,131,Gold
55286,131,Silver
129049,131,Bronze
5989,61,Gold
55286,61,Gold
6211,64,Gold
13995,64,Silver
67126,64,Bronze
8065,120,Gold
39072,120,Silver
5538,120,Bronze
8399,75,Silver
27421,75,Bronze
105386,75,Gold
8513,55,Gold
25505,55,Bronze
48532,55,Silver
10920,76,Silver
17228,76,Silver
49000,76,Silver
49001,76,Silver
69072,76,Bronze
75597,76,Bronze
78845,76,Bronze
118662,76,Bronze
125922,76,Silver
44834,76,Gold
49871,76,Gold
69275,76,Gold
72132,76,Gold
11514,77,Gold
26903,77,Silver
93521,77,Gold
49907,77,Bronze
12115,69,Gold
12115,69,Gold
26058,69,Bronze
29418,69,Bronze
29661,69,Silver
29661,69,Silver
40973,69,Silver
40973,69,Silver
54105,69,Bronze
67525,69,Gold
67525,69,Gold
79304,69,Silver
79304,69,Silver
106943,69,Bronze
116681,69,Silver
116681,69,Silver
33564,69,Gold
33564,69,Gold
13957,90,Gold
19094,90,Gold
19917,90,Gold
27223,90,Gold
46896,90,Gold
72221,90,Silver
93560,90,Silver
113397,90,Silver
129244,90,Silver
3476,90,Bronze
18617,90,Bronze
34574,90,Bronze
35156,90,Bronze
41943,90,Gold
41944,90,Gold
41945,90,Gold
58050,90,Gold
62819,90,Bronze
64289,90,Bronze
68356,90,Bronze
81186,90,Bronze
82504,90,Bronze
103655,90,Bronze
120277,90,Gold
130457,90,Bronze
15243,90,Silver
48444,90,Silver
71627,90,Silver
71628,90,Silver
119335,90,Silver
14037,89,Bronze
23334,89,Gold
76249,89,Silver
17308,44,Bronze
19874,44,Silver
19874,44,Silver
39839,44,Gold
39839,44,Bronze
70374,44,Silver
70374,44,Silver
