Name,Sex,Age,Height,Weight,NOC,Games,Sport,Event,Year,Season,City,Medal
Andreea Aanei,F,22.0,170.0,125.0,ROU,2016 Summer,Weightlifting,Weightlifting Women's Super-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Nstor Abad Sanjun,M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,Gymnastics Men's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Antonio Abadia Beci,M,26.0,170.0,65.0,ESP,2016 Summer,Athletics,"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Giovanni Abagnale,M,21.0,198.0,90.0,ITA,2016 Summer,Rowing,Rowing Men's Coxless Pairs,2016,Summer,Rio de Janeiro,Bronze
Patimat Abakarova,F,21.0,165.0,49.0,AZE,2016 Summer,Taekwondo,Taekwondo Women's Flyweight,2016,Summer,Rio de Janeiro,Bronze
Luc Abalo,M,31.0,182.0,86.0,FRA,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,Silver
Ilyas Abbadi,M,23.0,175.0,75.0,ALG,2016 Summer,Boxing,Boxing Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Abubakar Abbas Abbas,M,20.0,175.0,66.0,BRN,2016 Summer,Athletics,Athletics Men's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Lois Abbingh,F,23.0,178.0,72.0,NED,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,No Medal
Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0,IRQ,2016 Summer,Weightlifting,Weightlifting Men's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Clare Abbott,F,30.0,167.0,58.0,IRL,2016 Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",2016,Summer,Rio de Janeiro,No Medal
Mara Katherine Abbott,F,30.0,163.0,52.0,USA,2016 Summer,Cycling,"Cycling Women's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Hossam Abdalla,M,28.0,203.0,97.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Maha Abdalsalam Gouda,F,18.0,172.0,61.0,EGY,2016 Summer,Diving,Diving Women's Platform,2016,Summer,Rio de Janeiro,No Medal
Ahmed Abdel Naeim,M,31.0,197.0,87.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Samy Abdel Razek,M,36.0,170.0,60.0,EGY,2016 Summer,Shooting,"Shooting Men's Air Pistol, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Shaimaa Abdel-Latif-Hashad,F,35.0,165.0,57.0,EGY,2016 Summer,Shooting,"Shooting Women's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Ahmed Abdelaal,M,27.0,188.0,89.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Mahmoud Abdelaal,M,24.0,176.0,60.0,EGY,2016 Summer,Boxing,Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Mohamed Ali Abdelaal,M,26.0,175.0,81.0,EGY,2016 Summer,Judo,Judo Men's Half-Middleweight,2016,Summer,Rio de Janeiro,No Medal
Ibrahim Ramadan Ibrahim Abdelbaki,M,28.0,173.0,77.0,EGY,2016 Summer,Weightlifting,Weightlifting Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Ragab Abdelhay Saad Abdelrazek Abdallah,M,25.0,170.0,94.0,EGY,2016 Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Ayoub Abdellaoui,M,23.0,184.0,68.0,ALG,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Leila Abdelmoez,F,19.0,160.0,46.0,EGY,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Team,2016,Summer,Rio de Janeiro,No Medal
Ahmed Abdelrahman,M,20.0,165.0,60.0,EGY,2016 Summer,Judo,Judo Men's Extra-Lightweight,2016,Summer,Rio de Janeiro,No Medal
Mamdouh Abdelrehim,M,26.0,207.0,90.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Saeid Morad Abdevali,M,26.0,170.0,80.0,IRI,2016 Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",2016,Summer,Rio de Janeiro,Bronze
Bashir Abdi,M,27.0,176.0,56.0,BEL,2016 Summer,Athletics,"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Fawziya Abdoulkarim,F,27.0,180.0,67.0,CMR,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Berik Abdrakhmanov,M,30.0,165.0,60.0,KAZ,2016 Summer,Boxing,Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Maizurah Abdul Rahim,F,17.0,147.0,50.0,BRU,2016 Summer,Athletics,Athletics Women's 200 metres,2016,Summer,Rio de Janeiro,No Medal
Abdulqdir Abdullayev,M,28.0,188.0,91.0,AZE,2016 Summer,Boxing,Boxing Men's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Muminzhon Abdullayev,M,26.0,190.0,130.0,UZB,2016 Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016,Summer,Rio de Janeiro,No Medal
Waheed Abdulridha Waheed Karaawi,M,33.0,178.0,74.0,IRQ,2016 Summer,Boxing,Boxing Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Bekzod Makhamadzhonovich Abdurakhmonov,M,26.0,172.0,74.0,UZB,2016 Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Mukhamadmurod Abdurakhmonov,M,29.0,192.0,117.0,TJK,2016 Summer,Judo,Judo Men's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Adlan Aliyevich Abdurashidov,M,26.0,172.0,60.0,RUS,2016 Summer,Boxing,Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Mojtaba Abedini Shormasti,M,31.0,180.0,83.0,IRI,2016 Summer,Fencing,"Fencing Men's Sabre, Individual",2016,Summer,Rio de Janeiro,No Medal
Jennifer Abel,F,24.0,160.0,62.0,CAN,2016 Summer,Diving,Diving Women's Springboard,2016,Summer,Rio de Janeiro,No Medal
Arthur Abele,M,30.0,184.0,85.0,GER,2016 Summer,Athletics,Athletics Men's Decathlon,2016,Summer,Rio de Janeiro,No Medal
Jos Javier Abella Fanjul,M,22.0,176.0,66.0,MEX,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Tesfaye Abera Dibaba,M,24.0,192.0,68.0,ETH,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Matthew Duncan Abeysinghe,M,20.0,180.0,74.0,SRI,2016 Summer,Swimming,Swimming Men's 100 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Narek Abgaryan,M,24.0,166.0,52.0,ARM,2016 Summer,Boxing,Boxing Men's Flyweight,2016,Summer,Rio de Janeiro,No Medal
Pablo Abin Vicen,M,31.0,177.0,68.0,ESP,2016 Summer,Badminton,Badminton Men's Singles,2016,Summer,Rio de Janeiro,No Medal
"Catherine ""Kate"" Abilla Awino",F,27.0,162.0,56.0,KEN,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Camille Anne Franoise Abily,F,31.0,168.0,60.0,FRA,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,No Medal
Bode Abiodun,M,35.0,170.0,68.0,NGR,2016 Summer,Table Tennis,Table Tennis Men's Team,2016,Summer,Rio de Janeiro,No Medal
Diana Monteiro Abla,F,21.0,175.0,75.0,BRA,2016 Summer,Water Polo,Water Polo Women's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,RUS,2016 Summer,Gymnastics,Gymnastics Men's Team All-Around,2016,Summer,Rio de Janeiro,Silver
Thorine Christelle Aboa Mbeza,F,23.0,182.0,78.0,CMR,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,AUS,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Abdelhalim Muhammad Abou,M,27.0,210.0,88.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Ashraf Abou El-Hassan,M,41.0,186.0,86.0,EGY,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Mamdouh Taha Al-Husseini Abouebaid,M,28.0,183.0,85.0,EGY,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25.0,188.0,87.0,EGY,2016 Summer,Fencing,"Fencing Men's Foil, Individual",2016,Summer,Rio de Janeiro,No Medal
Melita Isidora Abraham Schssler,F,19.0,170.0,62.0,CHI,2016 Summer,Rowing,Rowing Women's Lightweight Double Sculls,2016,Summer,Rio de Janeiro,No Medal
Tadesse Abraham,M,33.0,178.0,61.0,SUI,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Yelena Vasilyevna Abramchuk (Kopets-),F,28.0,182.0,95.0,BLR,2016 Summer,Athletics,Athletics Women's Shot Put,2016,Summer,Rio de Janeiro,No Medal
Aliyah Abrams,F,19.0,163.0,53.0,GUY,2016 Summer,Athletics,Athletics Women's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Benik Abramyan,M,31.0,186.0,115.0,GEO,2016 Summer,Athletics,Athletics Men's Shot Put,2016,Summer,Rio de Janeiro,No Medal
Diogo Ferreira Tribolet de Abreu,M,22.0,183.0,73.0,POR,2016 Summer,Trampolining,Trampolining Men's Individual,2016,Summer,Rio de Janeiro,No Medal
rika Abril Surez,F,38.0,164.0,52.0,COL,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
