Year,Season,NOC,id_athlete,Name,Event,Sport,Medal
1896,Summer,AUS,35698,"Edwin Harold ""Teddy"" Flack",Tennis Men's Doubles,Tennis,Bronze
1896,Summer,AUS,35698,"Edwin Harold ""Teddy"" Flack",Athletics Men's 800 metres,Athletics,Gold
1896,Summer,AUS,35698,"Edwin Harold ""Teddy"" Flack","Athletics Men's 1,500 metres",Athletics,Gold
1896,Summer,AUT,48195,Otto Herschmann,Swimming Men's 100 metres Freestyle,Swimming,Silver
1896,Summer,AUT,85477,Paul Neumann (-Newman),Swimming Men's 500 metres Freestyle,Swimming,Gold
1896,Summer,AUT,107006,Felix Adolf Schmal,Cycling Men's 333 metres Time Trial,Cycling,Bronze
1896,Summer,AUT,107006,Felix Adolf Schmal,"Cycling Men's 10,000 metres",Cycling,Bronze
1896,Summer,AUT,107006,Felix Adolf Schmal,Cycling Men's 12-Hours Race,Cycling,Gold
1896,Summer,DEN,54456,Alexander Viggo Jensen,"Weightlifting Men's Unlimited, One Hand",Weightlifting,Silver
1896,Summer,DEN,54456,Alexander Viggo Jensen,"Weightlifting Men's Unlimited, Two Hands",Weightlifting,Gold
1896,Summer,DEN,54456,Alexander Viggo Jensen,"Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting,Bronze
1896,Summer,DEN,85988,Holger Louis Nielsen,"Shooting Men's Free Pistol, 30 metres",Shooting,Silver
1896,Summer,DEN,85988,Holger Louis Nielsen,"Fencing Men's Sabre, Individual",Fencing,Bronze
1896,Summer,DEN,85988,Holger Louis Nielsen,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting,Bronze
1896,Summer,FRA,17492,Eugne Henri Callot,"Fencing Men's Foil, Individual",Fencing,Silver
1896,Summer,FRA,35708,Marie Lon Flameng,Cycling Men's Sprint,Cycling,Bronze
1896,Summer,FRA,35708,Marie Lon Flameng,"Cycling Men's 10,000 metres",Cycling,Silver
1896,Summer,FRA,35708,Marie Lon Flameng,Cycling Men's 100 kilometres,Cycling,Gold
1896,Summer,FRA,42499,Eugne Henry Gravelotte,"Fencing Men's Foil, Individual",Fencing,Gold
1896,Summer,FRA,68911,Albin Georges Lermusiaux,"Athletics Men's 1,500 metres",Athletics,Bronze
1896,Summer,FRA,76252,Paul Michel Pierre Adrien Masson (-Nossam),Cycling Men's Sprint,Cycling,Gold
1896,Summer,FRA,76252,Paul Michel Pierre Adrien Masson (-Nossam),Cycling Men's 333 metres Time Trial,Cycling,Gold
1896,Summer,FRA,76252,Paul Michel Pierre Adrien Masson (-Nossam),"Cycling Men's 10,000 metres",Cycling,Gold
1896,Summer,FRA,93575,Joanni Maurice Perronet,"Fencing Men's Foil, Masters, Individual",Fencing,Silver
1896,Summer,FRA,122526,Pierre Alexandre Tuffri,Athletics Men's Triple Jump,Athletics,Silver
1896,Summer,GBR,8620,Edward Battel,"Cycling Men's Road Race, Individual",Cycling,Bronze
1896,Summer,GBR,12929,John Mary Pius Boland,Tennis Men's Singles,Tennis,Gold
1896,Summer,GBR,12929,John Mary Pius Boland,Tennis Men's Doubles,Tennis,Gold
1896,Summer,GBR,32330,Launceston Elliot,"Weightlifting Men's Unlimited, One Hand",Weightlifting,Gold
1896,Summer,GBR,32330,Launceston Elliot,"Weightlifting Men's Unlimited, Two Hands",Weightlifting,Silver
1896,Summer,GBR,40851,Charles Henry Stuart Gmelin,Athletics Men's 400 metres,Athletics,Bronze
1896,Summer,GBR,42069,Grantley Thomas Smart Goulding,Athletics Men's 110 metres Hurdles,Athletics,Silver
1896,Summer,GBR,58394,Frederick Keeping,Cycling Men's 12-Hours Race,Cycling,Silver
1896,Summer,GBR,101352,George Stuart Robertson,Tennis Men's Doubles,Tennis,Bronze
1896,Summer,GER,12563,Conrad Helmut Fritz Bcker,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,12563,Conrad Helmut Fritz Bcker,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,35740,Alfred Flatow,Gymnastics Men's Parallel Bars,Gymnastics,Gold
1896,Summer,GER,35740,Alfred Flatow,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,35740,Alfred Flatow,Gymnastics Men's Horizontal Bar,Gymnastics,Silver
1896,Summer,GER,35740,Alfred Flatow,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,35741,Gustav Felix Flatow,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,35741,Gustav Felix Flatow,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,40985,Anton Gdrich,"Cycling Men's Road Race, Individual",Cycling,Silver
1896,Summer,GER,48633,Georg Otto Hilmar,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,48633,Georg Otto Hilmar,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,49185,Fritz Hofmann,Athletics Men's 100 metres,Athletics,Silver
1896,Summer,GER,49185,Fritz Hofmann,Gymnastics Men's Rope Climbing,Gymnastics,Bronze
1896,Summer,GER,74612,Julius Carl Fritz Manteuffel,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,74612,Julius Carl Fritz Manteuffel,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,85456,Karl Neukirch,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,85456,Karl Neukirch,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,102806,Richard Rstel,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,102806,Richard Rstel,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Summer,GER,107607,Fritz Richard Gustav Schuft,"Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Summer,GER,107607,Fritz Richard Gustav Schuft,"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
